feature,coefficient
labs7d_bun_std,-0.8617600090081577
labs7d_bun_mean,0.7631775577869324
labs7d_creatinine_count,0.7423348018164488
age,0.6883264566791221
vital48h_heart_rate_max,-0.6509120729984015
dem_sex_M_x_age_rcs1,-0.5271311314142182
labs7d_hgb_max,0.5054973700396255
labs7d_hgb_mean,-0.4473993147995404
labs7d_hgb_std,-0.4304031095026233
labs7d_bicarbonate_max,0.4299144846980078
labs7d_bicarbonate_mean,-0.4216931733709804
dem_sex_M_x_age_rcs2,0.3765413417518111
labs7d_bun_max,0.3755497843149113
cmb_infection,0.37467748783619115
labs7d_sodium_std,0.36095408692682984
labs7d_bun_min,0.3563113364192426
labs7d_plt_max,0.33218276122770923
age_rcs1,-0.2923529753145354
fluid48h_input_total_ml,-0.27659254286230395
vital48h_heart_rate_last,0.26884085480761993
cmb_liver,0.25878686393220574
fluid6h_input_total_ml,0.2557431032736861
vital48h_heart_rate_count,0.2502355950646526
hx30d_mech_vent_any,0.2402952071136061
labs7d_plt_mean,-0.23811480582145045
labs7d_creatinine_std,0.2165335461456881
vital48h_heart_rate_std,0.21033925579744964
labs7d_creatinine_max,-0.20959572964053816
labs7d_sodium_mean,0.20340326557945623
dem_sex_F,-0.2029336040264687
dem_sex_M,0.20293360402644256
vital48h_spo2_count,-0.20278860487565606
labs7d_sodium_count,-0.19645448153314354
labs7d_bicarbonate_min,-0.19483663583786417
vital48h_cvp_max,-0.1881387832430921
vital48h_heart_rate_mean,0.18643169799101778
labs7d_ph_mean,-0.1839381561181774
labs7d_hgb_min,-0.18312641098763813
labs7d_plt_count,-0.1792167662994104
cmb_hf,0.17654309001955268
labs7d_bicarbonate_count,-0.174922120934915
cmb_htn,0.17352243148974633
vital48h_mbp_min,0.17120957482077057
vital48h_sbp_max,-0.15361738683055032
fluid48h_input_count,0.1472625179362345
fluid48h_net_ml,0.1366044245309509
vital48h_temperature_last,0.13224694541690854
dem_race_BLACK,0.12983237720777818
vital48h_resp_rate_mean,0.12655852085696634
vital48h_temperature_max,-0.12515377479134238
labs7d_potassium_std,0.12419962734314342
labs7d_bicarbonate_std,-0.11974833623419594
cmb_cancer,0.11907520188525375
vital48h_tidal_volume_mean,0.10642330874588435
labs7d_bun_count,-0.1061608989994927
labs7d_creatinine_min,0.10558911698305404
labs7d_ph_min,0.10381693078904448
fluid6h_output_urine_rate_ml_per_hr,0.1016508035768767
vital48h_tidal_volume_max,-0.09761523441163575
cmb_dm,0.09695580415970391
hx30d_rrt_any,0.09505412468121101
vital48h_temperature_count,-0.09273482231301661
vital48h_dbp_max,0.09067723609825519
labs7d_lactate_count,0.08875866997134084
labs7d_lactate_min,0.08139162803504689
labs7d_lactate_std,0.08040614270836151
labs7d_lactate_max,-0.07949268838036314
labs7d_albumin_max,0.07934246481075313
vital48h_mbp_mean,-0.07749953791336979
vital48h_mbp_value_mean,-0.07749953791336979
vital48h_mbp_count,0.07495888739809413
fluid48h_net_rate_ml_per_hr,-0.07459659355101188
labs7d_plt_last,-0.07320003010397537
vital48h_cvp_last,0.07150632605607186
vital48h_cardiac_output_max,0.07090550220492733
cmb_cad,0.07058453347895914
vital48h_cardiac_output_std,-0.06827769062402052
vital48h_resp_rate_min,-0.06692661855447166
cmb_obesity,0.06663284786807534
vital48h_tidal_volume_std,-0.0661027679789072
vital48h_cvp_std,-0.06542731377200055
vital48h_resp_rate_max,-0.06473668950524793
labs7d_sodium_max,-0.064429635729765
labs7d_potassium_max,-0.06297124614876151
cmb_copd,0.0617618325222743
vital48h_cardiac_output_min,-0.06153989270481185
labs7d_potassium_mean,-0.05614631545139672
labs7d_albumin_std,-0.05389458193168483
vital48h_pap_sbp_max,-0.05370578247211801
labs7d_lactate_mean,-0.0533808719149491
fluid6h_output_urine_total_ml,-0.052951973922563074
fluid6h_output_urine_count,0.051173423552926235
ins_UNKNOWN,-0.050553534000094616
vital48h_pap_mbp_min,-0.05038992319576692
dem_race_ASIAN,-0.04726979712117834
vital48h_pap_dbp_mean,0.04641418920629225
labs7d_creatinine_mean,-0.04621866295946659
fluid6h_net_ml,-0.04592192978349248
fluid6h_net_rate_ml_per_hr,-0.045921929783478546
vital48h_sbp_last,0.04591492958492893
vital48h_heart_rate_min,-0.045552032968979396
age_rcs2,-0.044624961361246135
vital48h_tidal_volume_count,-0.044225799525439445
vital48h_pap_sbp_min,0.04363406886558499
vital48h_pap_mbp_std,0.043165836877284584
vital48h_pap_dbp_std,-0.041884541924820884
vital48h_gcs_last,0.04154050704738598
fluid48h_output_urine_rate_ml_per_hr,0.041531144637394525
vital48h_mbp_std,0.041202049108197615
vital48h_pulse_pressure_mean,0.040394250637556806
vital48h_pap_dbp_last,-0.038373146401747826
vital48h_mbp_last,-0.03805280244009633
dem_race_WHITE,-0.03798900519195799
vital48h_tidal_volume_min,-0.037086205729737594
labs7d_ph_count,-0.03691740660225254
labs7d_bun_last,-0.03612348838460379
vital48h_cvp_count,-0.03609068837986789
labs7d_creatinine_last,-0.03410822909885858
fluid48h_output_urine_total_ml,-0.03261451775291784
