model,split,n,prevalence,brier_score,brier_skill_score,ece,hl_stat,hl_pvalue
logreg,test,59947,0.131,0.1415,-0.2426,0.2193,22883.784,0.0
logreg,mimic3_full,34181,0.1998,0.1723,-0.078,0.1744,9050.782,0.0
rf,test,39965,0.132,0.0749,0.3466,0.0125,756.798,0.0
rf,mimic3_full,34181,0.1998,0.1251,0.2175,0.0419,5423.247,0.0
xgb,test,39965,0.132,0.0655,0.4285,0.0068,38.169,0.0
xgb,mimic3_full,34181,0.1998,0.1245,0.2214,0.0389,833.534,0.0
dnn,test,59947,0.131,0.0709,0.377,0.0066,51.381,0.0
dnn,mimic3_full,34181,0.1998,0.195,-0.2199,0.1911,7970648922.912,0.0
selfatten,test,59947,0.131,0.0703,0.3827,0.0117,267.012,0.0
selfatten,mimic3_full,34181,0.1998,0.1413,0.1159,0.031,212.799,0.0
dcn,test,59947,0.131,0.0724,0.3645,0.0125,370.412,0.0
dcn,mimic3_full,34181,0.1998,0.1937,-0.2115,0.1909,1631778.976,0.0
