model,split,n,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auroc_str,auprc,auprc_ci_lo,auprc_ci_hi,auprc_str,n_bootstrap
logreg,test,59947,0.131,0.87,0.866,0.874,0.870 (0.866–0.874),0.5394,0.5267,0.5515,0.539 (0.527–0.552),1000
logreg,mimic3_full,34181,0.1998,0.771,0.7648,0.7769,0.771 (0.765–0.777),0.4809,0.4685,0.494,0.481 (0.469–0.494),1000
rf,test,39965,0.132,0.8856,0.8807,0.8906,0.886 (0.881–0.891),0.613,0.5992,0.6265,0.613 (0.599–0.627),1000
rf,mimic3_full,34181,0.1998,0.7882,0.7817,0.7947,0.788 (0.782–0.795),0.5518,0.539,0.5649,0.552 (0.539–0.565),1000
xgb,test,39965,0.132,0.9171,0.9129,0.921,0.917 (0.913–0.921),0.7001,0.6873,0.7116,0.700 (0.687–0.712),1000
xgb,mimic3_full,34181,0.1998,0.8071,0.8014,0.8127,0.807 (0.801–0.813),0.559,0.5468,0.5715,0.559 (0.547–0.572),1000
dnn,test,59947,0.131,0.9043,0.9009,0.9075,0.904 (0.901–0.908),0.6487,0.6379,0.6586,0.649 (0.638–0.659),1000
dnn,mimic3_full,34181,0.1998,0.7104,0.7039,0.7164,0.710 (0.704–0.716),0.3447,0.3338,0.356,0.345 (0.334–0.356),1000
selfatten,test,59947,0.131,0.9067,0.9034,0.91,0.907 (0.903–0.910),0.6548,0.6439,0.665,0.655 (0.644–0.665),1000
selfatten,mimic3_full,34181,0.1998,0.7334,0.7267,0.74,0.733 (0.727–0.740),0.4367,0.4239,0.449,0.437 (0.424–0.449),1000
dcn,test,59947,0.131,0.9017,0.8982,0.9051,0.902 (0.898–0.905),0.6376,0.6266,0.6474,0.638 (0.627–0.647),1000
dcn,mimic3_full,34181,0.1998,0.694,0.6862,0.7009,0.694 (0.686–0.701),0.3596,0.3488,0.371,0.360 (0.349–0.371),1000
